,app,operations,counters,fp
0,canneal,"('/', '+', '/')","('SYSTEMWIDE:RAPL_ENERGY_PKG', 'MEM_UOPS_RETIRED:ALL_STORES', 'PERF_COUNT_SW_PAGE_FAULTS', 'SYSTEMWIDE:RAPL_ENERGY_PKG')","[1.54935234e-08 5.25064215e-08 6.84925498e-08 7.29064236e-08
 7.05494313e-08 6.43787524e-08 5.87867226e-08 5.08902940e-08
 4.84177267e-08 4.63667135e-08 4.42248994e-08 4.32430187e-08
 4.41220474e-08 4.23599884e-08 4.15615687e-08 4.06240467e-08
 3.98866744e-08 3.92011875e-08 3.83800434e-08 3.75346926e-08
 3.68199106e-08 3.69566709e-08 3.75836296e-08 3.56501202e-08
 3.51680711e-08 3.42690253e-08 3.35840248e-08 3.25386333e-08
 3.29542852e-08 3.24451541e-08 3.21860414e-08 3.20271719e-08
 3.18825225e-08 3.16130140e-08 3.13777694e-08 3.09990905e-08
 3.01993075e-08 2.97577015e-08 3.05133233e-08 3.03606840e-08
 3.06761013e-08 3.11147783e-08 3.15704838e-08 3.18718430e-08
 3.22684958e-08 3.23023731e-08 3.22694328e-08 3.20655468e-08
 3.15711896e-08 3.09235475e-08 3.01660982e-08 2.94440319e-08
 2.87525790e-08 2.81722692e-08 2.76459471e-08 2.76088046e-08
 2.78928716e-08 2.96949030e-08 2.89613420e-08 2.81815954e-08
 2.74724554e-08 2.68618208e-08 2.63618640e-08 2.59864523e-08
 2.57422560e-08 2.61117316e-08 2.68874099e-08 2.85065608e-08
 2.74477058e-08 2.73684972e-08 2.72882845e-08 2.72417959e-08
 2.71940955e-08 2.71459920e-08 2.71207477e-08 2.70412522e-08
 2.69865595e-08 2.69206031e-08 2.68530344e-08 2.68217713e-08
 2.67783707e-08 2.67876007e-08 2.65964176e-08 2.65849477e-08
 2.69527134e-08 2.73169842e-08 2.71709699e-08 2.94479678e-08
 3.15537786e-08 3.30276194e-08 3.36120663e-08 3.30025983e-08
 3.12860629e-08 2.91824770e-08 2.72520050e-08 2.61193638e-08
 2.59412241e-08 2.66903067e-08 3.04532823e-08 1.18171814e-07]"
1,freqmine,"('+', '*', '*')","('SYSTEMWIDE:RAPL_ENERGY_DRAM', 'MEM_UOPS_RETIRED:ALL_STORES', 'MEM_UOPS_RETIRED:ALL_LOADS', 'MEM_UOPS_RETIRED:ALL_LOADS')","[3.24377022e+27 1.27345121e+28 6.38174693e+28 1.24925459e+29
 1.72558068e+29 1.96784312e+29 2.07598357e+29 1.89831278e+29
 1.05745873e+29 1.86753538e+29 1.21953633e+24 4.20901534e+29
 4.09902815e+29 1.39889258e+30 5.90254664e+30 1.91242446e+31
 4.39032730e+31 7.67788889e+31 1.03993588e+32 1.39822102e+32
 1.55469065e+32 1.96885464e+32 1.85528429e+32 1.93968316e+32
 2.06343174e+32 2.20075659e+32 2.26142547e+32 2.24336086e+32
 2.11904432e+32 1.99798241e+32 1.81542198e+32 1.59836338e+32
 1.42167421e+32 1.26089271e+32 1.14195416e+32 1.06590360e+32
 1.04168826e+32 1.04179842e+32 1.03504666e+32 1.05578208e+32
 1.04837974e+32 9.79985754e+31 9.06613163e+31 7.88534466e+31
 6.76051803e+31 5.70622320e+31 4.96489362e+31 4.12678078e+31
 3.52454291e+31 3.04290089e+31 2.56782215e+31 2.11238924e+31
 1.77625278e+31 1.42024905e+31 1.21587755e+31 1.07502308e+31
 1.00911844e+31 9.05850850e+30 8.12439768e+30 6.62184025e+30
 5.57610384e+30 4.72842673e+30 3.79611896e+30 2.90549117e+30
 2.40520595e+30 2.10804526e+30 1.96330571e+30 1.96759782e+30
 2.00945470e+30 1.99079429e+30 2.29561180e+30 2.40004324e+30
 2.39678173e+30 2.20729604e+30 2.05720567e+30 1.80178063e+30
 1.51600579e+30 1.23518558e+30 9.71396254e+29 7.38654481e+29
 5.96038488e+29 4.41792728e+29 3.31173356e+29 2.23948590e+29
 1.99980188e+29 1.52867724e+29 1.12722049e+29 8.31043685e+28
 5.56559946e+28 4.02815055e+28 2.75323524e+28 1.68806407e+28
 1.07725690e+28 1.17895712e+28 1.80217872e+28 1.68851883e+28
 1.31260100e+28 7.35019624e+27 1.78722596e+27 2.25515121e+26]"
2,vips,"('/', '*', '-')","('SYSTEMWIDE:RAPL_ENERGY_PKG', 'PERF_COUNT_SW_CPU_CLOCK', 'PERF_COUNT_SW_CPU_CLOCK', 'SYSTEMWIDE:RAPL_ENERGY_PKG')","[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 3.05175781e-05 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]"
3,bodytrack,"('+', '-', '-')","('PERF_COUNT_SW_PAGE_FAULTS', 'MEM_UOPS_RETIRED:ALL_STORES', 'PERF_COUNT_SW_PAGE_FAULTS', 'MEM_UOPS_RETIRED:ALL_STORES')","[ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.42108547e-14
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]"
4,ferret,"('/', '+', '+')","('SYSTEMWIDE:RAPL_ENERGY_PKG', 'PERF_COUNT_SW_CPU_CLOCK', 'PERF_COUNT_SW_CPU_CLOCK', 'PERF_COUNT_SW_CPU_CLOCK')","[ 1.96924684e+06  1.22101370e+06  2.20565801e+06 -2.42219523e+06
 -1.65756827e+06 -2.09297419e+06 -1.19649833e+07  3.60795016e+07
 -1.33748457e+09 -2.33974260e+08  4.89597394e+08 -4.41227565e+08
  2.05695966e+08  1.24577438e+09 -3.22506697e+07  1.38678480e+07
  1.09009967e+08 -1.73672270e+06 -2.02366324e+06  1.51086306e+06
  1.17406390e+06  1.24735082e+06  1.31198908e+06  1.31218700e+06
  1.24579349e+06  1.17270130e+06  1.47408421e+06 -1.83755212e+06
 -1.71551522e+06  2.55092686e+06 -1.44245930e+06 -6.67906104e+06
  2.09619440e+06 -5.01923124e+06 -1.34521430e+07  1.38944637e+06
  2.41885026e+07  3.82168754e+07  4.68636173e+07  5.07162514e+07
  4.84396255e+07  4.20337396e+07  2.97775699e+07  6.79847430e+06
 -9.07999868e+06 -2.09736884e+06  4.44795032e+06  2.30229659e+06
  1.29242683e+06  1.22205893e+06  1.79873614e+06 -2.61057802e+06
  1.53471830e+06  1.82564924e+07 -4.65859896e+07 -1.24949961e+08
  1.39126342e+07  2.29266989e+08  3.52922842e+08  4.23954744e+08
  4.52270314e+08  4.23943509e+08  3.53043814e+08  2.28986952e+08
  1.38764884e+07 -1.23198506e+08 -5.00395785e+07  1.75545646e+07
  2.06155106e+07 -6.41271337e+07 -1.54381084e+08  2.70313113e+07
  2.88394317e+08  4.09490909e+08  4.78218969e+08  6.08717802e+08
  7.68562459e+08  8.23378519e+08  7.36877704e+08  4.89053783e+08
  2.87610523e+08  3.05091491e+08  2.39130074e+08  2.94817657e+07
 -9.18026276e+07 -5.00606094e+07  3.54866301e+07  5.16691336e+07
  4.82556403e+07  5.11374334e+07  4.55652584e+07  3.44499919e+07
  1.47165031e+07 -1.00167767e+07 -1.20427620e+07 -1.72189402e+06
  8.83334613e+06  1.39159462e+07  8.88136210e+06 -1.13359367e+07]"
5,openmc,"('/', '*', '-')","('MEM_UOPS_RETIRED:ALL_STORES', 'PERF_COUNT_SW_PAGE_FAULTS', 'PERF_COUNT_SW_PAGE_FAULTS', 'MEM_UOPS_RETIRED:ALL_STORES')","[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 5.68434189e-14 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 4.13590306e-25
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 2.91038305e-11 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]"
6,swaptions,"('/', '+', '/')","('PERF_COUNT_SW_CPU_CLOCK', 'MEM_UOPS_RETIRED:ALL_LOADS', 'MEM_UOPS_RETIRED:ALL_STORES', 'SYSTEMWIDE:RAPL_ENERGY_DRAM')","[ 1.37754649e-07  1.27592042e-07  1.23396851e-07  1.25124559e-07
  1.29337555e-07  1.36455855e-07  1.52375960e-07  1.57154850e-07
  1.60808064e-07  1.58888551e-07  1.47607565e-07  1.18327790e-07
  2.24264806e-08  3.89561270e-07  2.11276179e-07  1.74664369e-07
  1.50586055e-07  1.25781937e-07  9.00818093e-08  1.97344576e-08
 -4.78166619e-07  3.20242734e-07  1.95015023e-07  1.48725049e-07
  1.15701473e-07  7.66981288e-08  1.83807984e-08 -1.08149271e-07
  1.30478661e-06  2.12499816e-07  1.27460387e-07  8.49065983e-08
  5.08426968e-08  1.35814886e-08 -4.36067416e-08 -2.79482971e-07
  3.58253095e-07  1.44268819e-07  8.70040717e-08  4.97637599e-08
  1.41804306e-08 -2.74555056e-08 -1.09427471e-07 -1.75602569e-06
  2.07450809e-07  9.30060790e-08  2.86507493e-08 -1.29968257e-09
 -1.44814773e-08  5.25969463e-09  1.67050752e-09  4.92247712e-10
 -3.84947115e-10 -1.30741637e-09 -2.52642863e-09 -5.36722450e-09
  4.50644289e-08  2.78717894e-09  6.92981245e-10 -3.55836646e-10
 -1.24450468e-09 -2.17611180e-09 -3.61141500e-09 -9.02636842e-09
  7.09898794e-09  1.13082994e-09 -3.57231494e-10 -1.32182105e-09
 -2.14619328e-09 -3.09084212e-09 -4.89813110e-09 -2.82717581e-08
  2.20753829e-09 -3.58018622e-10 -1.45867031e-09 -2.19084814e-09
 -2.82226408e-09 -3.71260613e-09 -6.30988434e-09  9.87242669e-09
 -4.18826731e-10 -1.93262772e-09 -2.71493000e-09 -3.22099539e-09
 -3.66440578e-09 -4.21343224e-09 -7.45073384e-09 -3.88416049e-10
 -2.62828024e-09 -3.65908926e-10 -1.48307025e-08  4.48315581e-08
 -1.66623547e-07  3.84155323e-07 -1.32307689e-05 -1.86980042e-05
 -1.32933450e-05  7.93547605e-06  4.97871897e-05  1.17136717e-04]"
7,xhpl,"('*', '/', '-')","('MEM_UOPS_RETIRED:ALL_LOADS', 'PERF_COUNT_SW_PAGE_FAULTS', 'PERF_COUNT_SW_PAGE_FAULTS', 'MEM_UOPS_RETIRED:ALL_LOADS')","[ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  5.68434189e-14
  0.00000000e+00  0.00000000e+00  1.81898940e-12  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.13686838e-13
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00 -5.68434189e-14  0.00000000e+00  0.00000000e+00
  1.13686838e-13  0.00000000e+00  2.27373675e-13  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]"
8,dedup,"('/', '*', '-')","('SYSTEMWIDE:RAPL_ENERGY_DRAM', 'MEM_UOPS_RETIRED:ALL_LOADS', 'MEM_UOPS_RETIRED:ALL_LOADS', 'SYSTEMWIDE:RAPL_ENERGY_DRAM')","[ 0.00000000e+00  3.81469727e-06  0.00000000e+00 -3.81469727e-06
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  3.81469727e-06  0.00000000e+00 -3.81469727e-06  0.00000000e+00
  3.81469727e-06  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00 -3.81469727e-06  3.81469727e-06  3.81469727e-06
  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.81469727e-06
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.81469727e-06
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.81469727e-06
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.81469727e-06
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00 -3.81469727e-06  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  3.81469727e-06  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  3.81469727e-06  0.00000000e+00  0.00000000e+00  0.00000000e+00
  3.81469727e-06  0.00000000e+00  0.00000000e+00  0.00000000e+00]"
9,fluid,"('/', '*', '-')","('SYSTEMWIDE:RAPL_ENERGY_PKG', 'MEM_UOPS_RETIRED:ALL_LOADS', 'MEM_UOPS_RETIRED:ALL_LOADS', 'SYSTEMWIDE:RAPL_ENERGY_PKG')","[ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
 -3.05175781e-05  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]"
10,black,"('-', '*', '*')","('PERF_COUNT_SW_CPU_CLOCK', 'MEM_UOPS_RETIRED:ALL_STORES', 'PERF_COUNT_SW_PAGE_FAULTS', 'PERF_COUNT_SW_PAGE_FAULTS')","[ 1.20535128e+11  5.74177149e+10  2.19599151e+10  5.95776238e+09
  8.25804539e+08  7.92400156e+06 -8.46042177e+08  8.44921923e+07
  1.19767586e+05 -3.11816730e+11 -1.34118877e+10  6.61791778e+11
  4.02748651e+12  9.67663969e+12  1.54207650e+13  1.77693971e+13
  1.46276604e+13  7.60214344e+12  1.75458473e+12  2.97906635e+11
  7.84825199e+11  7.67626473e+11  7.66694562e+11  6.56762903e+11
  6.31804225e+11  5.84331541e+11  6.18218911e+11  6.66122024e+11
  6.62644785e+11  6.42808979e+11  6.60835292e+11  6.94991958e+11
  6.56197590e+11  5.92442994e+11  5.59181447e+11  6.00571710e+11
  6.26410436e+11  6.88137955e+11  7.06828577e+11  7.10768594e+11
  7.46218069e+11  8.35567338e+11  8.43346980e+11  8.33064616e+11
  8.89511530e+11  8.81151617e+11  8.86879271e+11  8.82771325e+11
  8.11763732e+11  7.85957888e+11  7.52911363e+11  7.76239859e+11
  6.92654931e+11  6.86756898e+11  7.00855032e+11  6.57796482e+11
  6.94090436e+11  6.29467475e+11  6.50165455e+11  6.44998375e+11
  6.51805679e+11  6.25504324e+11  6.03634027e+11  6.03027007e+11
  5.47167973e+11  6.15567794e+11  6.55099782e+11  7.02168358e+11
  7.25971672e+11  7.13520240e+11  7.03507131e+11  6.99083410e+11
  6.18487730e+11  7.30531967e+11  7.34899729e+11  8.52096197e+11
  8.58888744e+11  8.72900404e+11  8.62097540e+11  8.37443407e+11
  7.36374568e+11  7.03325186e+11  6.53640249e+11  7.59433064e+11
  7.13824617e+11  7.00486673e+11  6.89264741e+11  7.24103199e+11
  8.17031808e+11  1.49841812e+11  1.30695296e+12  6.76281465e+11
  2.12781412e+13  1.00990790e+13  1.13543982e+13  1.41419624e+14
  5.06846582e+14  9.29293461e+14  4.60485398e+14 -3.11838782e+15]"
11,x264,"('', '+', '/')","('MEM_UOPS_RETIRED:ALL_LOADS', 'PERF_COUNT_SW_CPU_CLOCK', 'PERF_COUNT_SW_PAGE_FAULTS', 'PERF_COUNT_HW_INSTRUCTIONS')","[ 0.33333333  0.26883779  0.26940521  0.26959214  0.2696852   0.2697409
  0.26977798  0.26980444  0.26982427  0.26983969  0.26985201  0.2698621
  0.2698705   0.2698776   0.26988369  0.26988897  0.26989434  0.26990271
  0.26992006  0.26997849  0.26976835  0.26989788  0.26994723  0.27000189
  0.2700763   0.27018695  0.27036788  0.27071249  0.27159227  0.27771863
  0.26515767  0.26772034  0.26833286  0.26859116  0.26871963  0.26878286
  0.26880416  0.26879143  0.26874598  0.2686653   0.26854333  0.26836967
  0.26812755  0.26778998  0.26731205  0.26661392  0.26555569  0.26390138
  0.26146985  0.26265197  0.28807846  0.28642766  0.28125537  0.27826052
  0.27630482  0.2748045   0.27346485  0.27211087  0.27062269  0.2689012
  0.26684969  0.26436249  0.26131753  0.25757128  0.25295459  0.24726436
  0.24025832  0.23165814  0.22116952  0.20851236  0.19348534  0.1760693
  0.15654424  0.13553576  0.11387194  0.09230874  0.07160346  0.05173165
  0.02620216 -0.35738646  0.10158574  0.08668488  0.08978431  0.09775473
  0.10706388  0.11615305  0.12470516  0.13276514  0.14037429  0.1475694
  0.15438337  0.16084571  0.16698295  0.17281902  0.17837556  0.18367218
  0.1887267   0.19355535  0.19817294  0.20259301]"
